,NAME,temp_mean,month,year,temp_mean_full,temp_difference,rain_mean,rain_mean_full,rain_difference,Cost_o_C,Slope,temp_difference_abs,rain_difference_abs,production,total use,ending stock,interaction,dummy
12,Iowa,-10.60611589,1,2009,-7.703209121,-2.902906765,18.1863395,22.22116426,-4.034824762,21.5,1,2.902906765,4.034824762,12101,11950,1790,11.7127201,0
13,Kansas,-0.836346416,1,2009,-0.895717177,0.059370761,1.967879106,13.50080655,-11.53292745,21.5,1,0.059370761,11.53292745,12101,11950,1790,0.684718685,0
14,Minnesota,-17.29089772,1,2009,-12.71514028,-4.575757446,15.83311104,18.46845638,-2.63534534,21.5,1,4.575757446,2.63534534,12101,11950,1790,12.05870106,0
15,Missouri,-2.832091751,1,2009,-1.37979372,-1.452298031,28.06594767,41.02513504,-12.95918737,21.5,1,1.452298031,12.95918737,12101,11950,1790,18.8206023,0
16,Nebraska,-3.881053247,1,2009,-4.29351024,0.412456993,11.75836136,11.33713457,0.421226783,21.5,1,0.412456993,0.421226783,12101,11950,1790,0.173737932,0
17,Ohio,-6.414357368,1,2009,-3.309437084,-3.104920284,68.20887881,63.46647545,4.742403363,21.5,1,3.104920284,4.742403363,12101,11950,1790,14.7247844,0
18,South Dakota,-8.751622638,1,2009,-7.740344819,-1.011277819,10.02376814,11.01537479,-0.991606652,21.5,1,1.011277819,0.991606652,12101,11950,1790,1.002789813,0
19,Wisconsin,-14.70171381,1,2009,-10.07375443,-4.62795938,15.81268728,28.8626072,-13.04991992,21.5,1,4.62795938,13.04991992,12101,11950,1790,60.3944993,0
20,Illinois,-6.039911264,1,2010,-3.843994852,-2.195916412,38.34152414,45.8169741,-7.475449968,20.5,1,2.195916412,7.475449968,13151,13070,1764,16.41546327,0
21,Indiana,-4.612808964,1,2010,-3.332189376,-1.280619588,40.55406558,66.02880211,-25.47473652,20.5,1,1.280619588,25.47473652,13151,13070,1764,32.62344659,0
22,Iowa,-10.43201106,1,2010,-7.703209121,-2.728801935,34.40595689,22.22116426,12.18479263,20.5,1,2.728801935,12.18479263,13151,13070,1764,33.24988571,0
23,Kansas,-3.00136959,1,2010,-0.895717177,-2.105652413,13.32598912,13.50080655,-0.174817431,20.5,1,2.105652413,0.174817431,13151,13070,1764,0.368104746,0
24,Minnesota,-13.11106618,1,2010,-12.71514028,-0.395925903,24.13266952,18.46845638,5.66421314,20.5,1,0.395925903,5.66421314,13151,13070,1764,2.242608701,0
25,Missouri,-3.94844077,1,2010,-1.37979372,-2.56864705,55.97420349,41.02513504,14.94906845,20.5,1,2.56864705,14.94906845,13151,13070,1764,38.39888057,0
26,Nebraska,-5.726752416,1,2010,-4.29351024,-1.433242176,9.237426946,11.33713457,-2.099707628,20.5,1,1.433242176,2.099707628,13151,13070,1764,3.009389529,0
27,Ohio,-4.062150704,1,2010,-3.309437084,-0.752713621,46.70847209,63.46647545,-16.75800335,20.5,1,0.752713621,16.75800335,13151,13070,1764,12.61397738,0
28,South Dakota,-9.575772205,1,2010,-7.740344819,-1.835427387,15.64293587,11.01537479,4.627561076,20.5,1,1.835427387,4.627561076,13151,13070,1764,8.493552333,0
29,Wisconsin,-9.592112094,1,2010,-10.07375443,0.481642331,24.39873896,28.8626072,-4.463868242,20.5,1,0.481642331,4.463868242,13151,13070,1764,2.149987907,0
30,Illinois,-5.191663824,1,2011,-3.843994852,-1.347668972,34.03044123,45.8169741,-11.78653287,14.25,1,1.347668972,11.78653287,12447,13430,745,15.88434463,0
31,Indiana,-4.634471521,1,2011,-3.332189376,-1.302282145,40.91424687,66.02880211,-25.11455523,14.25,1,1.302282145,25.11455523,12447,13430,745,32.70623687,0
32,Iowa,-9.854570257,1,2011,-7.703209121,-2.151361136,23.66059037,22.22116426,1.439426111,14.25,1,2.151361136,1.439426111,12447,13430,745,3.096725393,0
33,Kansas,-2.870617556,1,2011,-0.895717177,-1.974900379,12.14942151,13.50080655,-1.35138504,14.25,1,1.974900379,1.35138504,12447,13430,745,2.668850827,0
34,Minnesota,-15.29113566,1,2011,-12.71514028,-2.575995385,26.74016449,18.46845638,8.271708103,14.25,1,2.575995385,8.271708103,12447,13430,745,21.3078819,0
35,Missouri,-3.209698038,1,2011,-1.37979372,-1.829904318,30.18225872,41.02513504,-10.84287632,14.25,1,1.829904318,10.84287632,12447,13430,745,19.84142619,0
36,Nebraska,-6.640421157,1,2011,-4.29351024,-2.346910917,23.23958755,11.33713457,11.90245298,14.25,1,2.346910917,11.90245298,12447,13430,745,27.93399684,0
37,Ohio,-4.81510297,1,2011,-3.309437084,-1.505665887,39.70853908,63.46647545,-23.75793636,14.25,1,1.505665887,23.75793636,12447,13430,745,35.77151432,0
38,South Dakota,-10.47783533,1,2011,-7.740344819,-2.737490514,24.31184831,11.01537479,13.29647352,14.25,1,2.737490514,13.29647352,12447,13430,745,36.39897013,0
39,Wisconsin,-11.18907137,1,2011,-10.07375443,-1.115316946,22.63524307,28.8626072,-6.227364129,14.25,1,1.115316946,6.227364129,12447,13430,745,6.945484742,0
40,Illinois,-0.276928104,1,2012,-3.843994852,3.567066749,48.99760887,45.8169741,3.180634763,8.25,1,3.567066749,3.180634763,12358,12655,846,11.3455365,0
41,Indiana,0.049399091,1,2012,-3.332189376,3.381588467,89.57952294,66.02880211,23.55072083,8.25,1,3.381588467,23.55072083,12358,12655,846,79.63884595,0
42,Iowa,-3.33593111,1,2012,-7.703209121,4.367278012,16.01217417,22.22116426,-6.208990088,8.25,1,4.367278012,6.208990088,12358,12655,846,27.11638588,0
43,Kansas,1.924349323,1,2012,-0.895717177,2.8200665,1.718987945,13.50080655,-11.78181861,8.25,1,2.8200665,11.78181861,12358,12655,846,33.22551197,0
44,Minnesota,-7.850235165,1,2012,-12.71514028,4.864905112,15.5262949,18.46845638,-2.942161485,8.25,1,4.864905112,2.942161485,12358,12655,846,14.31333645,0
45,Missouri,1.979181323,1,2012,-1.37979372,3.358975043,30.74834302,41.02513504,-10.27679202,8.25,1,3.358975043,10.27679202,12358,12655,846,34.51948791,0
46,Nebraska,-1.08038563,1,2012,-4.29351024,3.21312461,4.12171066,11.33713457,-7.215423914,8.25,1,3.21312461,7.215423914,12358,12655,846,23.18405615,0
47,Ohio,-0.283013599,1,2012,-3.309437084,3.026423485,88.89291456,63.46647545,25.42643912,8.25,1,3.026423485,25.42643912,12358,12655,846,76.95117247,0
48,South Dakota,-3.811980085,1,2012,-7.740344819,3.928364734,11.07250896,11.01537479,0.057134171,8.25,1,3.928364734,0.057134171,12358,12655,846,0.224443863,0
49,Wisconsin,-6.429042277,1,2012,-10.07375443,3.644712148,26.39921045,28.8626072,-2.463396749,8.25,1,3.644712148,2.463396749,12358,12655,846,8.978372057,0
50,Illinois,-1.688095586,1,2013,-3.843994852,2.155899267,97.17227411,45.8169741,51.3553,-3.75,0,2.155899267,51.3553,10780,11267,602,110.7168536,0
51,Indiana,-1.225470876,1,2013,-3.332189376,2.1067185,119.8260611,66.02880211,53.79725901,-3.75,0,2.1067185,53.79725901,10780,11267,602,113.3356808,0
52,Iowa,-5.7191543,1,2013,-7.703209121,1.984054821,24.52452728,22.22116426,2.303363018,-3.75,0,1.984054821,2.303363018,10780,11267,602,4.569998499,0
53,Kansas,-0.160422171,1,2013,-0.895717177,0.735295007,22.48959793,13.50080655,8.988791377,-3.75,0,0.735295007,8.988791377,10780,11267,602,6.609413414,0
54,Minnesota,-11.7988404,1,2013,-12.71514028,0.916299881,23.99158999,18.46845638,5.523133602,-3.75,0,0.916299881,5.523133602,10780,11267,602,5.060846661,0
55,Missouri,0.690725382,1,2013,-1.37979372,2.070519102,85.67542442,41.02513504,44.65028938,-3.75,0,2.070519102,44.65028938,10780,11267,602,92.44927706,0
56,Nebraska,-3.77440607,1,2013,-4.29351024,0.51910417,7.009746475,11.33713457,-4.327388098,-3.75,0,0.51910417,4.327388098,10780,11267,602,2.246365206,0
57,Ohio,-1.064801823,1,2013,-3.309437084,2.244635261,67.80505952,63.46647545,4.338584078,-3.75,0,2.244635261,4.338584078,10780,11267,602,9.738538805,0
58,South Dakota,-6.887044296,1,2013,-7.740344819,0.853300523,10.76479961,11.01537479,-0.250575184,-3.75,0,0.853300523,0.250575184,10780,11267,602,0.213815936,0
59,Wisconsin,-8.669269464,1,2013,-10.07375443,1.404484961,43.15350647,28.8626072,14.29089926,-3.75,0,1.404484961,14.29089926,10780,11267,602,20.07135309,0
60,Illinois,-7.388827255,1,2014,-3.843994852,-3.544832402,45.95448056,45.8169741,0.137506457,12.25,1,3.544832402,0.137506457,13925,13150,1631,0.487437345,0
61,Indiana,-7.277426305,1,2014,-3.332189376,-3.94523693,64.60534079,66.02880211,-1.423461316,12.25,1,3.94523693,1.423461316,13925,13150,1631,5.615892152,0
62,Iowa,-10.07282692,1,2014,-7.703209121,-2.369617796,11.58498405,22.22116426,-10.63618021,12.25,1,2.369617796,10.63618021,13925,13150,1631,25.20368191,0
63,Kansas,-1.578529582,1,2014,-0.895717177,-0.682812405,6.847585703,13.50080655,-6.65322085,12.25,1,0.682812405,6.65322085,13925,13150,1631,4.542901732,0
64,Minnesota,-16.81575539,1,2014,-12.71514028,-4.10061511,21.30267729,18.46845638,2.834220907,12.25,1,4.10061511,2.834220907,13925,13150,1631,11.62204908,0
65,Missouri,-3.816207122,1,2014,-1.37979372,-2.436413402,29.67939826,41.02513504,-11.34573679,12.25,1,2.436413402,11.34573679,13925,13150,1631,27.64290516,0
66,Nebraska,-3.786356201,1,2014,-4.29351024,0.507154039,4.956919516,11.33713457,-6.380215057,12.25,1,0.507154039,6.380215057,13925,13150,1631,3.235751837,0
67,Ohio,-7.126756048,1,2014,-3.309437084,-3.817318964,57.02099123,63.46647545,-6.445484212,12.25,1,3.817318964,6.445484212,13925,13150,1631,24.60446912,0
68,South Dakota,-7.715099814,1,2014,-7.740344819,0.025245005,6.974646362,11.01537479,-4.040728428,12.25,1,0.025245005,4.040728428,13925,13150,1631,0.102008208,0
69,Wisconsin,-14.80768978,1,2014,-10.07375443,-4.733935355,29.72098754,28.8626072,0.858380338,12.25,1,4.733935355,0.858380338,13925,13150,1631,4.063517032,0
70,Illinois,-3.786758397,1,2015,-3.843994852,0.057236455,38.46001182,45.8169741,-7.356962289,16,1,0.057236455,7.356962289,14216,13595,1877,0.421086443,0
71,Indiana,-3.935520044,1,2015,-3.332189376,-0.603330669,54.75191529,66.02880211,-11.27688682,16,1,0.603330669,11.27688682,14216,13595,1877,6.803691664,0
72,Iowa,-6.050963164,1,2015,-7.703209121,1.652245957,13.42805581,22.22116426,-8.793108448,16,1,1.652245957,8.793108448,14216,13595,1877,14.52837789,0
73,Kansas,-0.155453569,1,2015,-0.895717177,0.740263608,9.00688079,13.50080655,-4.493925763,16,1,0.740263608,4.493925763,14216,13595,1877,3.326689701,0
74,Minnesota,-10.56060289,1,2015,-12.71514028,2.154537384,12.14021207,18.46845638,-6.328244309,16,1,2.154537384,6.328244309,14216,13595,1877,13.63443894,0
75,Missouri,-0.897478652,1,2015,-1.37979372,0.482315068,30.29670349,41.02513504,-10.72843155,16,1,0.482315068,10.72843155,14216,13595,1877,5.174484199,0
76,Nebraska,-2.97584082,1,2015,-4.29351024,1.31766942,3.758494614,11.33713457,-7.578639959,16,1,1.31766942,7.578639959,14216,13595,1877,9.986142118,0
77,Ohio,-4.545213154,1,2015,-3.309437084,-1.23577607,65.47422868,63.46647545,2.007753233,16,1,1.23577607,2.007753233,14216,13595,1877,2.4811334,0
78,South Dakota,-5.415925329,1,2015,-7.740344819,2.32441949,6.363587029,11.01537479,-4.65178776,16,1,2.32441949,4.65178776,14216,13595,1877,10.81270613,0
79,Wisconsin,-9.598966821,1,2015,-10.07375443,0.474787604,13.86802617,28.8626072,-14.99458104,16,1,0.474787604,14.99458104,14216,13595,1877,7.119241201,0
80,Illinois,-3.170883823,1,2016,-3.843994852,0.67311103,22.90837037,45.8169741,-22.90860373,10.25,1,0.67311103,22.90860373,13601,13570,1802,15.42003385,0
81,Indiana,-2.725614832,1,2016,-3.332189376,0.606574544,35.44306974,66.02880211,-30.58573236,10.25,1,0.606574544,30.58573236,13601,13570,1802,18.55252666,0
82,Iowa,-7.190695209,1,2016,-7.703209121,0.512513912,16.00624216,22.22116426,-6.2149221,10.25,1,0.512513912,6.2149221,13601,13570,1802,3.185234037,0
83,Kansas,-0.345515582,1,2016,-0.895717177,0.550201595,12.81125448,13.50080655,-0.689552076,10.25,1,0.550201595,0.689552076,13601,13570,1802,0.379392652,0
84,Minnesota,-11.11483052,1,2016,-12.71514028,1.600309757,14.48884142,18.46845638,-3.979614964,10.25,1,1.600309757,3.979614964,13601,13570,1802,6.368616656,0
85,Missouri,-1.049952943,1,2016,-1.37979372,0.329840777,26.15838372,41.02513504,-14.86675132,10.25,1,0.329840777,14.86675132,13601,13570,1802,4.903660807,0
86,Nebraska,-3.6030641,1,2016,-4.29351024,0.69044614,10.25142247,11.33713457,-1.085712105,10.25,1,0.69044614,1.085712105,13601,13570,1802,0.749625731,0
87,Ohio,-3.002396324,1,2016,-3.309437084,0.30704076,34.69884972,63.46647545,-28.76762573,10.25,1,0.30704076,28.76762573,13601,13570,1802,8.832833665,0
88,South Dakota,-6.909716898,1,2016,-7.740344819,0.830627921,6.58053949,11.01537479,-4.4348353,10.25,1,0.830627921,4.4348353,13601,13570,1802,3.683698025,0
89,Wisconsin,-9.088124934,1,2016,-10.07375443,0.985629491,21.45990169,28.8626072,-7.40270551,10.25,1,0.985629491,7.40270551,13601,13570,1802,7.296324863,0
90,Illinois,-0.257411524,1,2017,-3.843994852,3.586583329,54.7408715,45.8169741,8.923897394,14.25,1,3.586583329,8.923897394,15148,14585,2355,32.00630162,0
91,Indiana,0.866344058,1,2017,-3.332189376,4.198533434,94.54251057,66.02880211,28.51370846,14.25,1,4.198533434,28.51370846,15148,14585,2355,119.7157583,0
92,Iowa,-4.567744404,1,2017,-7.703209121,3.135464717,41.92184262,22.22116426,19.70067836,14.25,1,3.135464717,19.70067836,15148,14585,2355,61.77078191,0
93,Kansas,0.213516048,1,2017,-0.895717177,1.109233225,46.04892574,13.50080655,32.54811918,14.25,1,1.109233225,32.54811918,15148,14585,2355,36.1034552,0
94,Minnesota,-10.01064963,1,2017,-12.71514028,2.70449065,27.70687227,18.46845638,9.238415885,14.25,1,2.70449065,9.238415885,15148,14585,2355,24.98520938,0
95,Missouri,1.511176781,1,2017,-1.37979372,2.890970501,50.30243605,41.02513504,9.277301004,14.25,1,2.890970501,9.277301004,15148,14585,2355,26.82040353,0
96,Nebraska,-4.237604517,1,2017,-4.29351024,0.055905723,25.812657,11.33713457,14.47552242,14.25,1,0.055905723,14.47552242,15148,14585,2355,0.809264548,0
97,Ohio,1.174142805,1,2017,-3.309437084,4.483579889,106.6657001,63.46647545,43.19922468,14.25,1,4.483579889,43.19922468,15148,14585,2355,193.687175,0
98,South Dakota,-8.652852584,1,2017,-7.740344819,-0.912507765,16.97999406,11.01537479,5.964619269,14.25,1,0.912507765,5.964619269,15148,14585,2355,5.442761398,0
99,Wisconsin,-7.178089843,1,2017,-10.07375443,2.895664582,53.75599963,28.8626072,24.89339243,14.25,1,2.895664582,24.89339243,15148,14585,2355,72.08291478,0
100,Illinois,-4.796430179,1,2018,-3.843994852,-0.952435327,35.00576685,45.8169741,-10.81120725,16.75,1,0.952435327,10.81120725,14604,14470,2477,10.29697571,0
101,Indiana,-4.581968301,1,2018,-3.332189376,-1.249778926,53.65846249,66.02880211,-12.37033962,16.75,1,1.249778926,12.37033962,14604,14470,2477,15.46018976,0
102,Iowa,-8.184700145,1,2018,-7.703209121,-0.481491023,27.30204698,22.22116426,5.080882717,16.75,1,0.481491023,5.080882717,14604,14470,2477,2.446399419,0
103,Kansas,-1.538651684,1,2018,-0.895717177,-0.642934507,11.31758183,13.50080655,-2.183224718,16.75,1,0.642934507,2.183224718,14604,14470,2477,1.403670507,0
104,Minnesota,-12.61576414,1,2018,-12.71514028,0.099376141,16.12207005,18.46845638,-2.346386338,16.75,1,0.099376141,2.346386338,14604,14470,2477,0.233174819,0
105,Missouri,-2.614976017,1,2018,-1.37979372,-1.235182297,43.21371512,41.02513504,2.188580074,16.75,1,1.235182297,2.188580074,14604,14470,2477,2.703295363,0
106,Nebraska,-5.38848465,1,2018,-4.29351024,-1.09497441,19.72524132,11.33713457,8.388106746,16.75,1,1.09497441,8.388106746,14604,14470,2477,9.184762233,0
107,Ohio,-4.384651984,1,2018,-3.309437084,-1.075214901,62.84176906,63.46647545,-0.624706383,16.75,1,1.075214901,0.624706383,14604,14470,2477,0.671693611,0
108,South Dakota,-8.05636764,1,2018,-7.740344819,-0.316022821,7.609448675,11.01537479,-3.405926115,16.75,1,0.316022821,3.405926115,14604,14470,2477,1.076350379,0
109,Wisconsin,-9.721250394,1,2018,-10.07375443,0.352504031,31.37250618,28.8626072,2.509898975,16.75,1,0.352504031,2.509898975,14604,14470,2477,0.884749506,0
110,Illinois,-3.765942353,2,2008,-1.736093667,-2.029848686,117.4800622,63.73005546,53.75000671,24.5,1,2.029848686,53.75000671,13074,12955,,109.1043805,0
111,Indiana,-2.451616815,2,2008,-1.225446148,-1.226170666,126.4289803,74.50316438,51.9258159,24.5,1,1.226170666,51.9258159,13074,12955,,63.66991228,0
112,Iowa,-8.647681726,2,2008,-5.593422917,-3.054258809,47.46114625,34.25655897,13.20458728,24.5,1,3.054258809,13.20458728,13074,12955,,40.33022703,0
113,Kansas,-0.38285606,2,2008,0.882858672,-1.265714732,38.31672797,25.47218603,12.84454194,24.5,1,1.265714732,12.84454194,13074,12955,,16.25752596,0
114,Minnesota,-13.07574775,2,2008,-10.90135499,-2.174392757,9.823556149,21.65696944,-11.83341329,24.5,1,2.174392757,11.83341329,13074,12955,,25.73048815,0
115,Missouri,-1.075868096,2,2008,0.796765029,-1.872633125,120.780814,64.76311258,56.01770137,24.5,1,1.872633125,56.01770137,13074,12955,,104.9006032,0
116,Nebraska,-3.607747422,2,2008,-2.820905158,-0.786842265,10.75645967,19.15146044,-8.395000773,24.5,1,0.786842265,8.395000773,13074,12955,,6.60554142,0
117,Ohio,-2.462502004,2,2008,-1.477794605,-0.984707399,126.8985416,76.109641,50.78890058,24.5,1,0.984707399,50.78890058,13074,12955,,50.01220619,0
118,South Dakota,-7.533513547,2,2008,-6.426924445,-1.106589102,9.183915702,17.66264226,-8.478726561,24.5,1,1.106589102,8.478726561,13074,12955,,9.38246641,0
119,Wisconsin,-10.85301559,2,2008,-8.259466386,-2.593549201,41.88230076,29.95451954,11.92778121,24.5,1,2.593549201,11.92778121,13074,12955,,30.93528744,0
120,Illinois,-0.184434328,2,2009,-1.736093667,1.551659339,64.12951502,63.73005546,0.399459566,19,1,1.551659339,0.399459566,12101,11950,1790,0.619825165,0
121,Indiana,-0.321166605,2,2009,-1.225446148,0.904279543,74.38335461,74.50316438,-0.119809762,19,1,0.904279543,0.119809762,12101,11950,1790,0.108341517,0
122,Iowa,-3.191812255,2,2009,-5.593422917,2.401610662,21.13659818,34.25655897,-13.11996079,19,1,2.401610662,13.11996079,12101,11950,1790,31.50903772,0
123,Kansas,3.916329743,2,2009,0.882858672,3.03347107,13.7499404,25.47218603,-11.72224563,19,1,3.03347107,11.72224563,12101,11950,1790,35.55909299,0
124,Minnesota,-9.839429758,2,2009,-10.90135499,1.061925232,26.82247636,21.65696944,5.165506913,19,1,1.061925232,5.165506913,12101,11950,1790,5.485382127,0
125,Missouri,3.094371003,2,2009,0.796765029,2.297605974,51.03403488,64.76311258,-13.7290777,19,1,2.297605974,13.7290777,12101,11950,1790,31.54401092,0
126,Nebraska,-0.295058832,2,2009,-2.820905158,2.525846326,18.42268404,19.15146044,-0.728776399,19,1,2.525846326,0.728776399,12101,11950,1790,1.840777191,0
127,Ohio,-0.782721049,2,2009,-1.477794605,0.695073555,50.98965032,76.109641,-25.11999067,19,1,0.695073555,25.11999067,12101,11950,1790,17.46024123,0
128,South Dakota,-4.662860946,2,2009,-6.426924445,1.764063499,27.57220348,17.66264226,9.909561218,19,1,1.764063499,9.909561218,12101,11950,1790,17.48109524,0
129,Wisconsin,-6.798388051,2,2009,-8.259466386,1.461078336,28.60254574,29.95451954,-1.351973806,19,1,1.461078336,1.351973806,12101,11950,1790,1.975339638,0
130,Illinois,-3.878500109,2,2010,-1.736093667,-2.142406442,39.80044236,63.73005546,-23.9296131,22.25,1,2.142406442,23.9296131,13151,13115,1719,51.26695726,0
131,Indiana,-3.809443383,2,2010,-1.225446148,-2.583997235,41.0035664,74.50316438,-33.49959798,22.25,1,2.583997235,33.49959798,13151,13115,1719,86.56286856,0
132,Iowa,-8.386126145,2,2010,-5.593422917,-2.792703228,24.80346821,34.25655897,-9.453090763,22.25,1,2.792703228,9.453090763,13151,13115,1719,26.39967709,0
133,Kansas,-1.641848934,2,2010,0.882858672,-2.524707606,24.14139615,25.47218603,-1.330789873,22.25,1,2.524707606,1.330789873,13151,13115,1719,3.359855314,0
134,Minnesota,-11.29540042,2,2010,-10.90135499,-0.39404543,14.43710521,21.65696944,-7.219864228,22.25,1,0.39404543,7.219864228,13151,13115,1719,2.844954505,0
135,Missouri,-2.477335938,2,2010,0.796765029,-3.274100967,47.43693895,64.76311258,-17.32617363,22.25,1,3.274100967,17.32617363,13151,13115,1719,56.72764182,0
136,Nebraska,-5.314932187,2,2010,-2.820905158,-2.49402703,18.50888173,19.15146044,-0.642578715,22.25,1,2.49402703,0.642578715,13151,13115,1719,1.602608684,0
137,Ohio,-3.865217628,2,2010,-1.477794605,-2.387423023,58.09981243,76.109641,-18.00982856,22.25,1,2.387423023,18.00982856,13151,13115,1719,42.99707936,0
138,South Dakota,-9.822685061,2,2010,-6.426924445,-3.395760616,14.89278253,17.66264226,-2.769859736,22.25,1,3.395760616,2.769859736,13151,13115,1719,9.405780605,0
139,Wisconsin,-7.186967722,2,2010,-8.259466386,1.072498665,15.10589055,29.95451954,-14.84862899,22.25,1,1.072498665,14.84862899,13151,13115,1719,15.92513477,0
140,Illinois,-1.36943633,2,2011,-1.736093667,0.366657337,87.18700771,63.73005546,23.45695225,14.75,1,0.366657337,23.45695225,12447,13500,675,8.600663646,0
141,Indiana,-0.835244206,2,2011,-1.225446148,0.390201942,109.2869518,74.50316438,34.78378746,14.75,1,0.390201942,34.78378746,12447,13500,675,13.57270142,0
142,Iowa,-5.608317599,2,2011,-5.593422917,-0.014894682,38.22507907,34.25655897,3.9685201,14.75,1,0.014894682,3.9685201,12447,13500,675,0.059109843,0
143,Kansas,-1.485184925,2,2011,0.882858672,-2.368043597,30.36985248,25.47218603,4.897666456,14.75,1,2.368043597,4.897666456,12447,13500,675,11.59788769,0
144,Minnesota,-11.06972032,2,2011,-10.90135499,-0.168365331,18.83451627,21.65696944,-2.822453173,14.75,1,0.168365331,2.822453173,12447,13500,675,0.475203262,0
145,Missouri,0.147258891,2,2011,0.796765029,-0.649506138,94.79381395,64.76311258,30.03070137,14.75,1,0.649506138,30.03070137,12447,13500,675,19.50512487,0
146,Nebraska,-4.610231203,2,2011,-2.820905158,-1.789326046,16.8121303,19.15146044,-2.339330143,14.75,1,1.789326046,2.339330143,12447,13500,675,4.185824355,0
147,Ohio,-1.351418505,2,2011,-1.477794605,0.126376099,122.4757407,76.109641,46.3660997,14.75,1,0.126376099,46.3660997,12447,13500,675,5.859566821,0
148,South Dakota,-9.024444985,2,2011,-6.426924445,-2.59752054,32.59158409,17.66264226,14.92894182,14.75,1,2.59752054,14.92894182,12447,13500,675,38.77823303,0
149,Wisconsin,-7.906383891,2,2011,-8.259466386,0.353082495,30.55904348,29.95451954,0.604523933,14.75,1,0.353082495,0.604523933,12447,13500,675,0.213446819,0
150,Illinois,1.813147892,2,2012,-1.736093667,3.549241558,38.61642005,63.73005546,-25.1136354,6,1,3.549241558,25.1136354,12358,12705,801,89.13435846,0
151,Indiana,1.529869776,2,2012,-1.225446148,2.755315924,39.57205442,74.50316438,-34.93110996,6,1,2.755315924,34.93110996,12358,12705,801,96.2462435,0
152,Iowa,-1.779824191,2,2012,-5.593422917,3.813598726,44.70533864,34.25655897,10.44877967,6,1,3.813598726,10.44877967,12358,12705,801,39.84745284,0
153,Kansas,2.347776211,2,2012,0.882858672,1.464917539,45.89017009,25.47218603,20.41798406,6,1,1.464917539,20.41798406,12358,12705,801,29.91066296,0
154,Minnesota,-5.829947952,2,2012,-10.90135499,5.071407038,29.33711332,21.65696944,7.680143881,6,1,5.071407038,7.680143881,12358,12705,801,38.94913573,0
155,Missouri,3.942756904,2,2012,0.796765029,3.145991875,58.47437791,64.76311258,-6.288734672,6,1,3.145991875,6.288734672,12358,12705,801,19.78430818,0
156,Nebraska,-1.839759554,2,2012,-2.820905158,0.981145604,34.28539523,19.15146044,15.13393479,6,1,0.981145604,15.13393479,12358,12705,801,14.84859358,0
157,Ohio,1.266368898,2,2012,-1.477794605,2.744163503,41.43324146,76.109641,-34.67639953,6,1,2.744163503,34.67639953,12358,12705,801,95.15771,0
158,South Dakota,-3.608443885,2,2012,-6.426924445,2.81848056,29.07579976,17.66264226,11.4131575,6,1,2.81848056,11.4131575,12358,12705,801,32.16776252,0
159,Wisconsin,-3.387618613,2,2012,-8.259466386,4.871847774,31.1937362,29.95451954,1.239216658,6,1,4.871847774,1.239216658,12358,12705,801,6.037274915,0
160,Illinois,-1.62292534,2,2013,-1.736093667,0.113168327,70.2934061,63.73005546,6.563350642,-18.5,0,0.113168327,6.563350642,10780,11237,632,0.742763408,0
